T,File.Name,Min,1Q,Median,Mean,3Q,Max,Length
212,Adultmale_laugh03.csv,1781,1781,1781,1781,1781,1781,1
213,Adultmale_laugh04.csv,108.4,221.1,678.8,713.5,1170,1730,155
214,Adultmale_laugh04.csv,468.5,518.7,569,569,619.2,669.5,2
215,Adultmale_laugh04.csv,295.2,434.6,437.4,899.1,1565,1636,9
216,Adultmale_laugh04.csv,687,1550,2354,2308,3215,3284,22
217,Adultmale_laugh04.csv,3217,3217,3217,3217,3217,3217,1
218,Adultmale_laugh04.csv,1618,1618,1618,1618,1618,1618,1
219,Adultmale_laugh04.csv,84.81,260.9,1421,935.8,1464,1682,55
220,Adultmale_laugh04.csv,84.8,106.8,188.4,182.8,260.9,261,10
221,Adultmale_laugh04.csv,94.36,94.37,286.1,286.2,477.9,478.4,4
222,Adultmale_laugh04.csv,94.45,94.45,94.45,94.45,94.45,94.45,1
223,Adultmale_laugh05.csv,96.73,292.9,368.5,525.6,683,3405,226
224,Adultmale_laugh06.csv,83.33,266.8,324.8,535.2,674.8,3055,253
225,Adultmale_laugh06.csv,726,726,726,726,726,726,1
226,Adultmale_laugh06.csv,725.4,725.4,725.4,725.4,725.4,725.4,1
227,Adultmale_laugh07.csv,93.28,374,553.3,730,690,3535,246
228,Adultmale_laugh07.csv,180.6,180.9,181.2,181.2,181.6,181.9,2
229,Adultmale_laugh07.csv,177.8,177.9,181.2,1459,3366,3391,5
230,Adultmale_laugh07.csv,121.2,173.2,200.1,227.4,280.6,362.8,7
231,Adultmale_laugh07.csv,104.1,104.4,104.5,110.4,119,120,5
232,Adultmale_laugh07.csv,225.5,225.5,225.5,225.5,225.5,225.5,1
233,Adultmale_laugh08.csv,117.8,360.7,389.7,447,608.2,813.5,276
234,Adultmale_laugh09.csv,105.2,406.7,521.9,515.9,596.4,1111,273
235,Adultmale_laugh10.csv,112.4,221.5,404.7,465.5,506.2,1562,144
236,Adultmale_laugh10.csv,171.8,287.2,402.5,402.5,517.9,633.3,2
237,Adultmale_laugh10.csv,625.6,927.8,1230,1037,1242,1254,3
238,Adultmale_laugh10.csv,1229,1229,1229,1229,1229,1229,1
239,Adultmale_laugh10.csv,1223,1227,1230,1230,1233,1236,2
240,Adultmale_laugh10.csv,412.8,413.2,413.7,413.7,414.2,414.6,2
241,Adultmale_laugh10.csv,134.7,296.6,422.7,764.6,1782,1949,82
242,Adultmale_laugh10.csv,281.5,281.5,281.5,281.5,281.5,281.5,1
243,Adultmale_laugh10.csv,397,397,397,397,397,397,1
244,Adultmale_laugh11.csv,81.7,179,287.4,576.8,517.1,3852,271
245,Adultmale_laugh12.csv,380,384.5,389,393.2,399.8,410.5,3
246,Adultmale_laugh12.csv,57.76,261.8,292.1,450.6,320.1,3468,165
247,Adultmale_laugh12.csv,93.17,239.6,344.9,1374,2763,3725,105
248,Adultmale_laugh13.csv,54.99,453.2,491.3,471.2,535.5,826.5,48
249,Adultmale_laugh13.csv,70.42,450.2,492,488.1,522.9,1382,214
250,Adultmale_laugh13.csv,101.1,172.7,196.8,176.1,200.2,209.6,4
251,Adultmale_laugh13.csv,100.2,210.6,395.1,885.4,403.4,3318,5
252,Adultmale_laugh14.csv,120.1,282.3,362.8,756.8,576.4,3789,256
253,Adultmale_laugh14.csv,105.4,204.6,226.9,210.4,240,241.3,8
254,Adultmale_laugh14.csv,209.5,458.9,609.9,1893,3732,3791,9
255,Adultmale_laugh15.csv,131,486.4,560.8,1028,1777,3158,242
256,Adultmale_neutral01.csv,127.9,129.6,623.3,403,633.3,649.3,125
257,Adultmale_neutral02.csv,130.6,133.2,274.6,468.4,688.6,1400,220
258,Adultmale_neutral03.csv,113.8,116.3,120.1,132.3,126.1,684.9,137
259,Adultmale_neutral04.csv,342.6,342.6,342.6,342.6,342.6,342.6,1
260,Adultmale_neutral04.csv,112.5,628.8,640.1,609,654.5,680.9,149
261,Adultmale_neutral04.csv,641.4,642,642.6,642.6,643.2,643.8,2
262,Adultmale_neutral05.csv,100.8,212.6,613.7,477.6,632.8,661.1,127
263,Adultmale_neutral05.csv,202.5,202.5,202.5,202.5,202.5,202.5,1
264,Adultmale_neutral06.csv,108.2,109.6,111.3,349.1,618.1,664.8,145
265,Adultmale_neutral07.csv,112.1,114.6,115.4,202.3,280.3,616.3,188
266,Adultmale_neutral08.csv,104,208.4,600.9,455,619.3,662.1,177
267,Adultmale_neutral09.csv,115.3,116,122.1,357.1,693.7,710.3,162
268,Adultmale_neutral10.csv,164.9,362.9,683.1,573.4,687.3,697.2,180
269,Adultmale_neutral11.csv,113.2,121.8,128.8,183.3,129.7,666.9,114
270,Adultmale_neutral12.csv,91.63,100.6,193.8,213,197.1,633.3,138
271,Adultmale_neutral12.csv,575.3,575.3,575.3,575.3,575.3,575.3,1
272,Adultmale_neutral12.csv,89.28,239.9,390.5,390.5,541.2,691.8,2
273,Adultmale_neutral12.csv,583.8,583.8,583.8,583.8,583.8,583.8,1
274,Adultmale_neutral13.csv,90.7,582.5,594.5,556.3,632.7,661.2,149
275,Adultmale_neutral13.csv,638.7,638.7,638.7,638.7,638.7,638.7,1
276,Adultmale_neutral14.csv,548.9,572.1,580.4,582.4,592.1,613.8,128
277,Adultmale_neutral15.csv,99.08,305.1,311.8,275.4,326.8,346,147
278,Animal_cat01.csv,84.69,382.9,396.3,418.6,402.1,2250,274
279,Animal_cat01.csv,455.3,455.3,455.3,455.3,455.3,455.3,1
280,Animal_cat02.csv,384,1001,1098,1048,1144,3329,260
281,Animal_cat02.csv,921.8,922.3,922.7,922.7,923.2,923.6,2
282,Animal_cat03.csv,289.2,297.8,322.1,443.3,571.2,1124,273
283,Animal_cat04.csv,552,1004,1111,1035,1174,1228,266
284,Animal_cat04.csv,880.9,880.9,880.9,880.9,880.9,880.9,1
285,Animal_cat04.csv,519.7,652.6,785.4,785.4,918.3,1051,2
286,Animal_cat05.csv,158.3,441.4,477.4,467.8,489.7,1502,276
287,Animal_cat05.csv,493.7,493.8,493.9,493.9,493.9,494,2
288,Animal_cat06.csv,129.4,399.2,420.5,437.2,430.9,1582,226
289,Animal_cat06.csv,181.9,181.9,181.9,181.9,181.9,181.9,1
290,Animal_cat06.csv,245.4,245.5,260.8,588.6,603.8,1587,4
291,Animal_cat06.csv,363.9,363.9,363.9,363.9,363.9,363.9,1
292,Animal_cat06.csv,1364,1367,1371,1371,1374,1378,2
293,Animal_cat06.csv,843,843,843,843,843,843,1
294,Animal_cat06.csv,127.3,127.3,127.3,127.3,127.3,127.3,1
295,Animal_cat06.csv,195.4,350.2,505.1,505.1,660,814.8,2
296,Animal_cat07.csv,282.1,315.4,565.3,488.9,580.7,1109,274
297,Animal_cat07.csv,430.9,430.9,430.9,430.9,430.9,430.9,1
298,Animal_cat08.csv,287.9,489.1,528.4,497.9,576.3,607.1,73
299,Animal_cat08.csv,258.8,498.3,570.3,855.4,582.2,4215,160
300,Animal_cat09.csv,539.2,718.4,788.1,949,1004,4236,127
301,Animal_cat09.csv,481.3,661.8,1159,1494,1199,4546,106
302,Animal_cat10.csv,453.5,870.7,1065,986.8,1118,1276,148
303,Animal_cat10.csv,374.8,701.3,1028,1028,1354,1681,2
304,Animal_cat10.csv,200.1,856,1054,1266,1286,2954,115
305,Animal_cat11.csv,116.6,499.6,520.2,514.8,547.1,1043,237
306,Animal_cat11.csv,109.5,421.1,558.8,911.6,1630,2132,17
307,Animal_cat11.csv,90.88,90.88,90.88,90.88,90.88,90.88,1
308,Animal_cat12.csv,282.1,315.6,566.4,482.5,579.8,633.5,278
309,Animal_cat12.csv,562.8,564.3,565.9,565.9,567.5,569.1,2
310,Animal_cat13.csv,150.4,306.2,569.6,512.3,591,1641,240
311,Animal_cat13.csv,256.8,270.8,395.8,393.6,518.4,524,8
312,Animal_cat13.csv,280.9,280.9,280.9,280.9,280.9,280.9,1
313,Animal_cat13.csv,596.2,596.6,597,597,597.3,597.7,2
314,Animal_cat14.csv,282.1,315.3,565.6,486.7,580.2,1100,275
315,Animal_cat15.csv,116.4,500.9,520.7,520.6,546.5,1043,235
316,Animal_cat15.csv,141,402.4,918.8,982.2,1667,1867,15
317,Animal_dog01.csv,347.5,697.4,727.7,939.9,758.7,4321,245
318,Animal_dog01.csv,1034,1034,1034,1034,1034,1034,1
319,Animal_dog01.csv,1031,1031,1031,1031,1031,1031,1
320,Animal_dog01.csv,1029,1030,1031,1031,1032,1032,2
321,Animal_dog01.csv,1001,1006,1011,1011,1016,1021,2
322,Animal_dog01.csv,958.7,958.7,958.7,958.7,958.7,958.7,1
323,Animal_dog01.csv,246.6,246.9,247.1,247.1,247.4,247.6,2
324,Animal_dog02.csv,208.6,454.2,483.3,645.4,570.7,1402,34
325,Animal_dog02.csv,455.1,461.1,467.2,471.2,479.3,491.4,3
326,Animal_dog02.csv,63.44,475.2,496.9,654.6,639.4,3463,229
327,Animal_dog03.csv,49.94,411.8,816.5,1223,1635,9956,196
328,Animal_dog03.csv,48.09,48.09,48.09,48.09,48.09,48.09,1
329,Animal_dog03.csv,46.88,53.07,1614,1208,1679,3531,79
330,Animal_dog03.csv,1545,1554,1562,1562,1570,1579,2
331,Animal_dog04.csv,143.6,1046,1242,1152,1354,2608,275
332,Animal_dog04.csv,387.1,387.8,388.5,388.5,389.1,389.8,2
333,Animal_dog05.csv,435.9,880.1,966.5,976,1185,1410,107
334,Animal_dog05.csv,947.7,947.7,947.7,947.7,947.7,947.7,1
335,Animal_dog05.csv,939.5,943,946.5,946.5,950,953.5,2
336,Animal_dog05.csv,123.9,499.2,845.1,793.7,1069,1316,145
337,Animal_dog05.csv,758.1,758.1,758.1,758.1,758.1,758.1,1
338,Animal_dog06.csv,83.45,576,597.1,688.7,769.5,1256,261
339,Animal_dog06.csv,46.98,46.98,46.98,46.98,46.98,46.98,1
340,Animal_dog06.csv,48.66,49.83,51,51,52.17,53.34,2
341,Animal_dog06.csv,51.21,51.21,51.21,51.21,51.21,51.21,1
342,Animal_dog06.csv,52.99,52.99,52.99,52.99,52.99,52.99,1
343,Animal_dog07.csv,713.8,761.6,879.3,881.5,938.9,1163,272
344,Animal_dog07.csv,734.4,734.9,735.4,735.4,736,736.5,2
345,Animal_dog07.csv,733.3,733.3,733.3,733.3,733.3,733.3,1
346,Animal_dog07.csv,53.82,226.9,399.9,399.9,573,746,2
347,Animal_dog08.csv,49.59,431.6,768.7,595.3,836.9,863.2,47
348,Animal_dog08.csv,46.88,333.9,840.5,1299,1542,6134,117
349,Animal_dog08.csv,46.88,687.6,1204,1388,1591,5310,111
